"Lake","Parameter","Value"
"Sc","Turbidity_FTU",1.21
"Sc","DO_pc",69.37
"Sc","DO_mgL",6.125
"Sc","Depth_m",3.9
"Sc","T_C",21.158
"Sc","Salinity",0.207
"Sc","Cond_uScm",0.3964
"Sc","EC25_uScm",432.966
"Sc","Density_kgm3",998.135
"Sc","Chla_ugL",2.39
"Sc","Turbidity_FTU",1.38
"Sc","DO_pc",67.68
"Sc","DO_mgL",5.988
"Sc","Depth_m",4
"Sc","T_C",21.023
"Sc","Salinity",0.208
"Sc","Cond_uScm",0.3962
"Sc","EC25_uScm",434.197
"Sc","Density_kgm3",998.166
"Sc","Chla_ugL",2.42
"Sc","Turbidity_FTU",1.32
"Sc","DO_pc",65.67
"Sc","DO_mgL",5.827
"Sc","Depth_m",4.1
"Sc","T_C",20.985
"Sc","Salinity",0.208
"Sc","Cond_uScm",0.3959
"Sc","EC25_uScm",434.235
"Sc","Density_kgm3",998.174
"Sc","Chla_ugL",2.4
"Sc","Turbidity_FTU",1.24
"Sc","DO_pc",64.29
"Sc","DO_mgL",5.709
"Sc","Depth_m",4.2
"Sc","T_C",20.975
"Sc","Salinity",0.208
"Sc","Cond_uScm",0.3959
"Sc","EC25_uScm",434.373
"Sc","Density_kgm3",998.177
"Sc","Chla_ugL",2.37
"Sc","Turbidity_FTU",1.35
"Sc","DO_pc",62.6
"Sc","DO_mgL",5.561
"Sc","Depth_m",4.3
"Sc","T_C",20.922
"Sc","Salinity",0.208
"Sc","Cond_uScm",0.3956
"Sc","EC25_uScm",434.544
"Sc","Density_kgm3",998.189
"Sc","Chla_ugL",2.54
"Sc","Turbidity_FTU",1.38
"Sc","DO_pc",60.3
"Sc","DO_mgL",5.36
"Sc","Depth_m",4.4
"Sc","T_C",20.84
"Sc","Salinity",0.208
"Sc","Cond_uScm",0.3949
"Sc","EC25_uScm",434.632
"Sc","Density_kgm3",998.207
"Sc","Chla_ugL",2.42
"Sc","Turbidity_FTU",1.35
"Sc","DO_pc",58.86
"Sc","DO_mgL",5.246
"Sc","Depth_m",4.5
"Sc","T_C",20.668
"Sc","Salinity",0.208
"Sc","Cond_uScm",0.3946
"Sc","EC25_uScm",436.188
"Sc","Density_kgm3",998.245
"Sc","Chla_ugL",2.7
"Sc","Turbidity_FTU",1.42
"Sc","DO_pc",57.21
"Sc","DO_mgL",5.113
"Sc","Depth_m",4.6
"Sc","T_C",20.412
"Sc","Salinity",0.209
"Sc","Cond_uScm",0.3938
"Sc","EC25_uScm",437.969
"Sc","Density_kgm3",998.3
"Sc","Chla_ugL",2.48
"Sc","Turbidity_FTU",1.25
"Sc","DO_pc",54.75
"Sc","DO_mgL",4.912
"Sc","Depth_m",4.7
"Sc","T_C",20.215
"Sc","Salinity",0.209
"Sc","Cond_uScm",0.3916
"Sc","EC25_uScm",437.627
"Sc","Density_kgm3",998.342
"Sc","Chla_ugL",2.56
"Sc","Turbidity_FTU",1.33
"Sc","DO_pc",52.83
"Sc","DO_mgL",4.767
"Sc","Depth_m",4.8
"Sc","T_C",19.652
"Sc","Salinity",0.21
"Sc","Cond_uScm",0.3896
"Sc","EC25_uScm",441.528
"Sc","Density_kgm3",998.46
"Sc","Chla_ugL",2.62
"Sc","Turbidity_FTU",1.49
"Sc","DO_pc",48.82
"Sc","DO_mgL",4.444
"Sc","Depth_m",4.9
"Sc","T_C",19.358
"Sc","Salinity",0.211
"Sc","Cond_uScm",0.388
"Sc","EC25_uScm",443.009
"Sc","Density_kgm3",998.52
"Sc","Chla_ugL",2.73
"Sc","Turbidity_FTU",1.25
"Sc","DO_pc",42.05
"Sc","DO_mgL",3.853
"Sc","Depth_m",5
"Sc","T_C",18.928
"Sc","Salinity",0.211
"Sc","Cond_uScm",0.3845
"Sc","EC25_uScm",443.734
"Sc","Density_kgm3",998.605
"Sc","Chla_ugL",2.99
"Sc","Turbidity_FTU",1.39
"Sc","DO_pc",36.84
"Sc","DO_mgL",3.413
"Sc","Depth_m",5.1
"Sc","T_C",18.454
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3826
"Sc","EC25_uScm",447.005
"Sc","Density_kgm3",998.698
"Sc","Chla_ugL",2.67
"Sc","Turbidity_FTU",1.28
"Sc","DO_pc",32.42
"Sc","DO_mgL",3.022
"Sc","Depth_m",5.2
"Sc","T_C",18.094
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3794
"Sc","EC25_uScm",447.339
"Sc","Density_kgm3",998.766
"Sc","Chla_ugL",2.59
"Sc","Turbidity_FTU",1.4
"Sc","DO_pc",28.5
"Sc","DO_mgL",2.678
"Sc","Depth_m",5.3
"Sc","T_C",17.909
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.378
"Sc","EC25_uScm",447.811
"Sc","Density_kgm3",998.801
"Sc","Chla_ugL",2.34
"Sc","Turbidity_FTU",1.24
"Sc","DO_pc",25.97
"Sc","DO_mgL",2.449
"Sc","Depth_m",5.4
"Sc","T_C",17.737
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3771
"Sc","EC25_uScm",448.79
"Sc","Density_kgm3",998.833
"Sc","Chla_ugL",2.47
"Sc","Turbidity_FTU",1.36
"Sc","DO_pc",24.34
"Sc","DO_mgL",2.301
"Sc","Depth_m",5.5
"Sc","T_C",17.712
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3765
"Sc","EC25_uScm",448.393
"Sc","Density_kgm3",998.838
"Sc","Chla_ugL",2.73
"Sc","Turbidity_FTU",1.29
"Sc","DO_pc",23.51
"Sc","DO_mgL",2.225
"Sc","Depth_m",5.6
"Sc","T_C",17.592
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3753
"Sc","EC25_uScm",448.341
"Sc","Density_kgm3",998.86
"Sc","Chla_ugL",2.45
"Sc","Turbidity_FTU",1.49
"Sc","DO_pc",23.08
"Sc","DO_mgL",2.192
"Sc","Depth_m",5.7
"Sc","T_C",17.361
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3738
"Sc","EC25_uScm",449.333
"Sc","Density_kgm3",998.902
"Sc","Chla_ugL",2.5
"Sc","Turbidity_FTU",1.39
"Sc","DO_pc",22.63
"Sc","DO_mgL",2.159
"Sc","Depth_m",5.8
"Sc","T_C",17.064
"Sc","Salinity",0.211
"Sc","Cond_uScm",0.3701
"Sc","EC25_uScm",448.334
"Sc","Density_kgm3",998.955
"Sc","Chla_ugL",2.7
"Sc","Turbidity_FTU",1.36
"Sc","DO_pc",22.18
"Sc","DO_mgL",2.126
"Sc","Depth_m",5.9
"Sc","T_C",16.586
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3663
"Sc","EC25_uScm",449.458
"Sc","Density_kgm3",999.038
"Sc","Chla_ugL",2.11
"Sc","Turbidity_FTU",1.29
"Sc","DO_pc",21.77
"Sc","DO_mgL",2.111
"Sc","Depth_m",6
"Sc","T_C",15.917
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3607
"Sc","EC25_uScm",450.768
"Sc","Density_kgm3",999.149
"Sc","Chla_ugL",2.15
"Sc","Turbidity_FTU",1.22
"Sc","DO_pc",21.25
"Sc","DO_mgL",2.088
"Sc","Depth_m",6.1
"Sc","T_C",15.275
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3558
"Sc","EC25_uScm",452.611
"Sc","Density_kgm3",999.252
"Sc","Chla_ugL",2.3
"Sc","Turbidity_FTU",1.15
"Sc","DO_pc",20.62
"Sc","DO_mgL",2.052
"Sc","Depth_m",6.2
"Sc","T_C",15.036
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3535
"Sc","EC25_uScm",452.807
"Sc","Density_kgm3",999.289
"Sc","Chla_ugL",2
"Sc","Turbidity_FTU",1.11
"Sc","DO_pc",20.35
"Sc","DO_mgL",2.04
"Sc","Depth_m",6.3
"Sc","T_C",14.721
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3522
"Sc","EC25_uScm",455.148
"Sc","Density_kgm3",999.337
"Sc","Chla_ugL",1.84
"Sc","Turbidity_FTU",1.07
"Sc","DO_pc",20.28
"Sc","DO_mgL",2.046
"Sc","Depth_m",6.4
"Sc","T_C",14.44
"Sc","Salinity",0.213
"Sc","Cond_uScm",0.3506
"Sc","EC25_uScm",456.635
"Sc","Density_kgm3",999.379
"Sc","Chla_ugL",1.81
"Sc","Turbidity_FTU",0.99
"Sc","DO_pc",20.04
"Sc","DO_mgL",2.032
"Sc","Depth_m",6.5
"Sc","T_C",14.212
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3477
"Sc","EC25_uScm",455.882
"Sc","Density_kgm3",999.412
"Sc","Chla_ugL",1.74
"Sc","Turbidity_FTU",1.1
"Sc","DO_pc",19.19
"Sc","DO_mgL",1.953
"Sc","Depth_m",6.6
"Sc","T_C",13.945
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3458
"Sc","EC25_uScm",456.992
"Sc","Density_kgm3",999.45
"Sc","Chla_ugL",1.75
"Sc","Turbidity_FTU",1.03
"Sc","DO_pc",18.61
"Sc","DO_mgL",1.906
"Sc","Depth_m",6.7
"Sc","T_C",13.755
"Sc","Salinity",0.213
"Sc","Cond_uScm",0.3458
"Sc","EC25_uScm",459.403
"Sc","Density_kgm3",999.477
"Sc","Chla_ugL",1.71
"Sc","Turbidity_FTU",1.06
"Sc","DO_pc",18.16
"Sc","DO_mgL",1.869
"Sc","Depth_m",6.8
"Sc","T_C",13.732
"Sc","Salinity",0.213
"Sc","Cond_uScm",0.3446
"Sc","EC25_uScm",458.202
"Sc","Density_kgm3",999.48
"Sc","Chla_ugL",1.61
"Sc","Turbidity_FTU",1.11
"Sc","DO_pc",18.21
"Sc","DO_mgL",1.874
"Sc","Depth_m",6.9
"Sc","T_C",13.693
"Sc","Salinity",0.213
"Sc","Cond_uScm",0.3448
"Sc","EC25_uScm",459.016
"Sc","Density_kgm3",999.486
"Sc","Chla_ugL",1.37
"Sc","Turbidity_FTU",1.06
"Sc","DO_pc",18.05
"Sc","DO_mgL",1.86
"Sc","Depth_m",7
"Sc","T_C",13.631
"Sc","Salinity",0.213
"Sc","Cond_uScm",0.3444
"Sc","EC25_uScm",459.215
"Sc","Density_kgm3",999.495
"Sc","Chla_ugL",1.65
"Sc","Turbidity_FTU",1.32
"Sc","DO_pc",17.41
"Sc","DO_mgL",1.797
"Sc","Depth_m",7.1
"Sc","T_C",13.568
"Sc","Salinity",0.213
"Sc","Cond_uScm",0.3432
"Sc","EC25_uScm",458.495
"Sc","Density_kgm3",999.504
