"Lake","Parameter","Value"
"Hs","T_C",21.192
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3446
"Hs","EC25_uScm",376.093
"Hs","Density_kgm3",998.108
"Hs","Chla_ugL",2.77
"Hs","Turbidity_FTU",1.17
"Hs","DO_pc",93.87
"Hs","DO_mgL",8.309
"Hs","Depth_m",4.4
"Hs","T_C",21.187
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3445
"Hs","EC25_uScm",376.057
"Hs","Density_kgm3",998.11
"Hs","Chla_ugL",2.7
"Hs","Turbidity_FTU",1.15
"Hs","DO_pc",93.74
"Hs","DO_mgL",8.298
"Hs","Depth_m",4.5
"Hs","T_C",21.212
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3452
"Hs","EC25_uScm",376.573
"Hs","Density_kgm3",998.105
"Hs","Chla_ugL",2.85
"Hs","Turbidity_FTU",1.08
"Hs","DO_pc",92.77
"Hs","DO_mgL",8.208
"Hs","Depth_m",4.6
"Hs","T_C",21.208
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.345
"Hs","EC25_uScm",376.351
"Hs","Density_kgm3",998.106
"Hs","Chla_ugL",2.77
"Hs","Turbidity_FTU",1.15
"Hs","DO_pc",92.75
"Hs","DO_mgL",8.207
"Hs","Depth_m",4.7
"Hs","T_C",21.207
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3451
"Hs","EC25_uScm",376.485
"Hs","Density_kgm3",998.107
"Hs","Chla_ugL",2.75
"Hs","Turbidity_FTU",1.24
"Hs","DO_pc",92.77
"Hs","DO_mgL",8.209
"Hs","Depth_m",4.8
"Hs","T_C",21.199
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3451
"Hs","EC25_uScm",376.637
"Hs","Density_kgm3",998.109
"Hs","Chla_ugL",2.82
"Hs","Turbidity_FTU",1.28
"Hs","DO_pc",92.76
"Hs","DO_mgL",8.211
"Hs","Depth_m",4.9
"Hs","T_C",21.115
"Hs","Salinity",0.181
"Hs","Cond_uScm",0.3462
"Hs","EC25_uScm",378.587
"Hs","Density_kgm3",998.129
"Hs","Chla_ugL",3.57
"Hs","Turbidity_FTU",1.5
"Hs","DO_pc",92.79
"Hs","DO_mgL",8.23
"Hs","Depth_m",5
"Hs","T_C",21.016
"Hs","Salinity",0.183
"Hs","Cond_uScm",0.3493
"Hs","EC25_uScm",382.812
"Hs","Density_kgm3",998.152
"Hs","Chla_ugL",4.99
"Hs","Turbidity_FTU",1.6
"Hs","DO_pc",92.93
"Hs","DO_mgL",8.27
"Hs","Depth_m",5.1
"Hs","T_C",20.108
"Hs","Salinity",0.19
"Hs","Cond_uScm",0.3569
"Hs","EC25_uScm",399.973
"Hs","Density_kgm3",998.352
"Hs","Chla_ugL",5.84
"Hs","Turbidity_FTU",1.71
"Hs","DO_pc",92.75
"Hs","DO_mgL",8.414
"Hs","Depth_m",5.2
"Hs","T_C",19.579
"Hs","Salinity",0.193
"Hs","Cond_uScm",0.3581
"Hs","EC25_uScm",406.592
"Hs","Density_kgm3",998.463
"Hs","Chla_ugL",5.84
"Hs","Turbidity_FTU",1.65
"Hs","DO_pc",90.96
"Hs","DO_mgL",8.338
"Hs","Depth_m",5.3
"Hs","T_C",19.279
"Hs","Salinity",0.195
"Hs","Cond_uScm",0.3581
"Hs","EC25_uScm",409.622
"Hs","Density_kgm3",998.525
"Hs","Chla_ugL",5.94
"Hs","Turbidity_FTU",1.68
"Hs","DO_pc",86.86
"Hs","DO_mgL",7.995
"Hs","Depth_m",5.4
"Hs","T_C",18.999
"Hs","Salinity",0.195
"Hs","Cond_uScm",0.3574
"Hs","EC25_uScm",411.798
"Hs","Density_kgm3",998.581
"Hs","Chla_ugL",5.78
"Hs","Turbidity_FTU",1.63
"Hs","DO_pc",76.63
"Hs","DO_mgL",7.083
"Hs","Depth_m",5.5
"Hs","T_C",18.592
"Hs","Salinity",0.196
"Hs","Cond_uScm",0.3562
"Hs","EC25_uScm",414.651
"Hs","Density_kgm3",998.661
"Hs","Chla_ugL",5.96
"Hs","Turbidity_FTU",1.79
"Hs","DO_pc",64.62
"Hs","DO_mgL",6.016
"Hs","Depth_m",5.6
"Hs","T_C",18.231
"Hs","Salinity",0.197
"Hs","Cond_uScm",0.3537
"Hs","EC25_uScm",415.532
"Hs","Density_kgm3",998.73
"Hs","Chla_ugL",5.46
"Hs","Turbidity_FTU",1.63
"Hs","DO_pc",59.92
"Hs","DO_mgL",5.642
"Hs","Depth_m",5.7
"Hs","T_C",17.608
"Hs","Salinity",0.198
"Hs","Cond_uScm",0.3505
"Hs","EC25_uScm",418.554
"Hs","Density_kgm3",998.846
"Hs","Chla_ugL",5.03
"Hs","Turbidity_FTU",1.6
"Hs","DO_pc",54.6
"Hs","DO_mgL",5.215
"Hs","Depth_m",5.8
"Hs","T_C",16.842
"Hs","Salinity",0.202
"Hs","Cond_uScm",0.3526
"Hs","EC25_uScm",429.678
"Hs","Density_kgm3",998.986
"Hs","Chla_ugL",5.1
"Hs","Turbidity_FTU",1.54
"Hs","DO_pc",45.9
"Hs","DO_mgL",4.437
"Hs","Depth_m",5.9
"Hs","T_C",16.389
"Hs","Salinity",0.2
"Hs","Cond_uScm",0.3453
"Hs","EC25_uScm",426.004
"Hs","Density_kgm3",999.062
"Hs","Chla_ugL",5.42
"Hs","Turbidity_FTU",1.79
"Hs","DO_pc",37.48
"Hs","DO_mgL",3.654
"Hs","Depth_m",6
"Hs","T_C",16.023
"Hs","Salinity",0.2
"Hs","Cond_uScm",0.3427
"Hs","EC25_uScm",427.032
"Hs","Density_kgm3",999.123
"Hs","Chla_ugL",5.43
"Hs","Turbidity_FTU",2.24
"Hs","DO_pc",33.86
"Hs","DO_mgL",3.335
"Hs","Depth_m",6.1
"Hs","T_C",15.365
"Hs","Salinity",0.2
"Hs","Cond_uScm",0.3364
"Hs","EC25_uScm",426.871
"Hs","Density_kgm3",999.228
"Hs","Chla_ugL",5.36
"Hs","Turbidity_FTU",2.35
