"Lake","Parameter","Value"
"St","Depth_m",7.2
"St","T_C",13.664
"St","Salinity",0.132
"St","Cond_uScm",0.2148
"St","EC25_uScm",286.202
"St","Density_kgm3",999.428
"St","Chla_ugL",2.98
"St","Turbidity_FTU",3.02
"St","DO_pc",137.16
"St","DO_mgL",14.171
"St","Depth_m",7.3
"St","T_C",13.4
"St","Salinity",0.13
"St","Cond_uScm",0.2111
"St","EC25_uScm",283.437
"St","Density_kgm3",999.463
"St","Chla_ugL",2.86
"St","Turbidity_FTU",3.19
"St","DO_pc",139.22
"St","DO_mgL",14.452
"St","Depth_m",7.4
"St","T_C",13.103
"St","Salinity",0.13
"St","Cond_uScm",0.2085
"St","EC25_uScm",282.407
"St","Density_kgm3",999.501
"St","Chla_ugL",2.85
"St","Turbidity_FTU",3.62
"St","DO_pc",140.64
"St","DO_mgL",14.738
"St","Depth_m",7.5
"St","T_C",12.665
"St","Salinity",0.13
"St","Cond_uScm",0.207
"St","EC25_uScm",284.076
"St","Density_kgm3",999.557
"St","Chla_ugL",2.94
"St","Turbidity_FTU",3.7
"St","DO_pc",142.65
"St","DO_mgL",15.086
"St","Depth_m",7.6
"St","T_C",12.214
"St","Salinity",0.132
"St","Cond_uScm",0.2081
"St","EC25_uScm",289.482
"St","Density_kgm3",999.613
"St","Chla_ugL",2.99
"St","Turbidity_FTU",3.91
"St","DO_pc",148.38
"St","DO_mgL",15.808
"St","Depth_m",7.7
"St","T_C",12.046
"St","Salinity",0.13
"St","Cond_uScm",0.2033
"St","EC25_uScm",284.393
"St","Density_kgm3",999.631
"St","Chla_ugL",2.93
"St","Turbidity_FTU",3.86
"St","DO_pc",149.9
"St","DO_mgL",16.073
"St","Depth_m",7.8
"St","T_C",11.679
"St","Salinity",0.13
"St","Cond_uScm",0.2023
"St","EC25_uScm",286.182
"St","Density_kgm3",999.674
"St","Chla_ugL",2.78
"St","Turbidity_FTU",3.8
"St","DO_pc",150.26
"St","DO_mgL",16.248
"St","Depth_m",7.9
"St","T_C",11.334
"St","Salinity",0.131
"St","Cond_uScm",0.2027
"St","EC25_uScm",289.862
"St","Density_kgm3",999.712
"St","Chla_ugL",2.84
"St","Turbidity_FTU",3.81
"St","DO_pc",153.13
"St","DO_mgL",16.648
