"Lake","Parameter","Value"
"FukuNO","Cond_uScm",0.0956
"FukuNO","EC25_uScm",159.391
"FukuNO","Density_kgm3",999.99
"FukuNO","Chla_ugL",0.83
"FukuNO","Turbidity_FTU",262.87
"FukuNO","DO_pc",1.48
"FukuNO","DO_mgL",0.176
"FukuNO","Depth_m",4.9
"FukuNO","T_C",6.856
"FukuNO","Salinity",0.07
"FukuNO","Cond_uScm",0.0974
"FukuNO","EC25_uScm",162.06
"FukuNO","Density_kgm3",999.99
"FukuNO","Chla_ugL",0.31
"FukuNO","Turbidity_FTU",193.67
"FukuNO","DO_pc",1.02
"FukuNO","DO_mgL",0.123
"FukuNO","Depth_m",5
"FukuNO","T_C",6.879
"FukuNO","Salinity",0.07
"FukuNO","Cond_uScm",0.0984
"FukuNO","EC25_uScm",163.613
"FukuNO","Density_kgm3",999.99
"FukuNO","Chla_ugL",0.13
"FukuNO","Turbidity_FTU",107.17
"FukuNO","DO_pc",0.69
"FukuNO","DO_mgL",0.082
