"Lake","Parameter","Value"
"FukuSW","Cond_uScm",0.0342
"FukuSW","EC25_uScm",49.184
"FukuSW","Density_kgm3",999.624
"FukuSW","Chla_ugL",24.24
"FukuSW","Turbidity_FTU",1.27
"FukuSW","DO_pc",1.91
"FukuSW","DO_mgL",0.209
"FukuSW","Depth_m",2.9
"FukuSW","T_C",10.754
"FukuSW","Salinity",0.024
"FukuSW","Cond_uScm",0.0345
"FukuSW","EC25_uScm",50.241
"FukuSW","Density_kgm3",999.665
"FukuSW","Chla_ugL",24.79
"FukuSW","Turbidity_FTU",1.42
"FukuSW","DO_pc",1.59
"FukuSW","DO_mgL",0.176
"FukuSW","Depth_m",3
"FukuSW","T_C",10.398
"FukuSW","Salinity",0.025
"FukuSW","Cond_uScm",0.035
"FukuSW","EC25_uScm",51.496
"FukuSW","Density_kgm3",999.7
"FukuSW","Chla_ugL",25.58
"FukuSW","Turbidity_FTU",1.52
"FukuSW","DO_pc",1.26
"FukuSW","DO_mgL",0.14
"FukuSW","Depth_m",3.1
"FukuSW","T_C",10.207
"FukuSW","Salinity",0.025
"FukuSW","Cond_uScm",0.0351
"FukuSW","EC25_uScm",52.027
"FukuSW","Density_kgm3",999.718
"FukuSW","Chla_ugL",25.85
"FukuSW","Turbidity_FTU",1.67
"FukuSW","DO_pc",1.09
"FukuSW","DO_mgL",0.121
"FukuSW","Depth_m",3.2
"FukuSW","T_C",9.908
"FukuSW","Salinity",0.025
"FukuSW","Cond_uScm",0.0353
"FukuSW","EC25_uScm",52.849
"FukuSW","Density_kgm3",999.745
"FukuSW","Chla_ugL",25.96
"FukuSW","Turbidity_FTU",1.72
"FukuSW","DO_pc",0.86
"FukuSW","DO_mgL",0.097
"FukuSW","Depth_m",3.3
"FukuSW","T_C",9.593
"FukuSW","Salinity",0.025
"FukuSW","Cond_uScm",0.0353
"FukuSW","EC25_uScm",53.451
"FukuSW","Density_kgm3",999.772
"FukuSW","Chla_ugL",26.14
"FukuSW","Turbidity_FTU",1.92
"FukuSW","DO_pc",0.73
"FukuSW","DO_mgL",0.083
"FukuSW","Depth_m",3.4
"FukuSW","T_C",9.277
"FukuSW","Salinity",0.025
"FukuSW","Cond_uScm",0.0353
"FukuSW","EC25_uScm",54.03
"FukuSW","Density_kgm3",999.798
"FukuSW","Chla_ugL",26.27
"FukuSW","Turbidity_FTU",2.06
"FukuSW","DO_pc",0.66
"FukuSW","DO_mgL",0.076
"FukuSW","Depth_m",3.5
"FukuSW","T_C",9.008
"FukuSW","Salinity",0.025
"FukuSW","Cond_uScm",0.0356
"FukuSW","EC25_uScm",54.898
"FukuSW","Density_kgm3",999.82
"FukuSW","Chla_ugL",26.48
"FukuSW","Turbidity_FTU",2.17
"FukuSW","DO_pc",0.58
"FukuSW","DO_mgL",0.066
"FukuSW","Depth_m",3.6
"FukuSW","T_C",8.667
"FukuSW","Salinity",0.026
"FukuSW","Cond_uScm",0.0362
"FukuSW","EC25_uScm",56.564
"FukuSW","Density_kgm3",999.845
"FukuSW","Chla_ugL",27.15
"FukuSW","Turbidity_FTU",2.46
"FukuSW","DO_pc",0.53
"FukuSW","DO_mgL",0.061
"FukuSW","Depth_m",3.7
"FukuSW","T_C",8.451
"FukuSW","Salinity",0.026
"FukuSW","Cond_uScm",0.0366
"FukuSW","EC25_uScm",57.619
"FukuSW","Density_kgm3",999.861
"FukuSW","Chla_ugL",27.52
"FukuSW","Turbidity_FTU",2.67
"FukuSW","DO_pc",0.49
"FukuSW","DO_mgL",0.057
"FukuSW","Depth_m",3.8
"FukuSW","T_C",8.207
"FukuSW","Salinity",0.027
"FukuSW","Cond_uScm",0.0371
"FukuSW","EC25_uScm",58.915
"FukuSW","Density_kgm3",999.878
"FukuSW","Chla_ugL",28.13
"FukuSW","Turbidity_FTU",3.1
"FukuSW","DO_pc",0.45
"FukuSW","DO_mgL",0.053
"FukuSW","Depth_m",3.9
"FukuSW","T_C",8.058
"FukuSW","Salinity",0.027
"FukuSW","Cond_uScm",0.0375
"FukuSW","EC25_uScm",59.804
"FukuSW","Density_kgm3",999.888
"FukuSW","Chla_ugL",28.39
"FukuSW","Turbidity_FTU",3.21
"FukuSW","DO_pc",0.43
"FukuSW","DO_mgL",0.051
"FukuSW","Depth_m",4
"FukuSW","T_C",7.892
"FukuSW","Salinity",0.027
"FukuSW","Cond_uScm",0.038
"FukuSW","EC25_uScm",60.902
"FukuSW","Density_kgm3",999.898
"FukuSW","Chla_ugL",28.65
"FukuSW","Turbidity_FTU",3.56
"FukuSW","DO_pc",0.39
"FukuSW","DO_mgL",0.046
"FukuSW","Depth_m",4.1
"FukuSW","T_C",7.754
"FukuSW","Salinity",0.027
"FukuSW","Cond_uScm",0.0382
"FukuSW","EC25_uScm",61.567
"FukuSW","Density_kgm3",999.907
"FukuSW","Chla_ugL",28.79
"FukuSW","Turbidity_FTU",4.72
"FukuSW","DO_pc",0.36
"FukuSW","DO_mgL",0.042
"FukuSW","Depth_m",4.2
"FukuSW","T_C",7.65
"FukuSW","Salinity",0.028
"FukuSW","Cond_uScm",0.0385
"FukuSW","EC25_uScm",62.189
"FukuSW","Density_kgm3",999.913
"FukuSW","Chla_ugL",30.49
"FukuSW","Turbidity_FTU",12.57
"FukuSW","DO_pc",0.34
"FukuSW","DO_mgL",0.04
"FukuSW","Depth_m",4.3
"FukuSW","T_C",7.399
"FukuSW","Salinity",0.028
"FukuSW","Cond_uScm",0.0394
"FukuSW","EC25_uScm",64.362
"FukuSW","Density_kgm3",999.928
"FukuSW","Chla_ugL",62.33
"FukuSW","Turbidity_FTU",1224.74
"FukuSW","DO_pc",0.29
"FukuSW","DO_mgL",0.035
"FukuSW","Depth_m",4.4
"FukuSW","T_C",7.327
"FukuSW","Salinity",0.032
"FukuSW","Cond_uScm",0.0442
"FukuSW","EC25_uScm",72.3
"FukuSW","Density_kgm3",999.935
"FukuSW","Chla_ugL",19.03
"FukuSW","Turbidity_FTU",587.08
"FukuSW","DO_pc",0.26
"FukuSW","DO_mgL",0.03
