"Lake","Parameter","Value"
"Gg","Chla_ugL",1.2
"Gg","Turbidity_FTU",2.04
"Gg","DO_pc",110.95
"Gg","DO_mgL",9.345
"Gg","Depth_m",3.7
"Gg","T_C",23.786
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4633
"Gg","EC25_uScm",476.053
"Gg","Density_kgm3",997.541
"Gg","Chla_ugL",1.18
"Gg","Turbidity_FTU",2.03
"Gg","DO_pc",110.81
"Gg","DO_mgL",9.336
"Gg","Depth_m",3.8
"Gg","T_C",23.707
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4641
"Gg","EC25_uScm",477.723
"Gg","Density_kgm3",997.562
"Gg","Chla_ugL",1.3
"Gg","Turbidity_FTU",2.03
"Gg","DO_pc",110.91
"Gg","DO_mgL",9.363
"Gg","Depth_m",3.9
"Gg","T_C",23.615
"Gg","Salinity",0.232
"Gg","Cond_uScm",0.4661
"Gg","EC25_uScm",480.77
"Gg","Density_kgm3",997.585
"Gg","Chla_ugL",1.51
"Gg","Turbidity_FTU",2.04
"Gg","DO_pc",110.86
"Gg","DO_mgL",9.376
"Gg","Depth_m",4
"Gg","T_C",23.478
"Gg","Salinity",0.234
"Gg","Cond_uScm",0.469
"Gg","EC25_uScm",485.294
"Gg","Density_kgm3",997.621
"Gg","Chla_ugL",1.74
"Gg","Turbidity_FTU",2.03
"Gg","DO_pc",110.66
"Gg","DO_mgL",9.383
"Gg","Depth_m",4.1
"Gg","T_C",23.338
"Gg","Salinity",0.236
"Gg","Cond_uScm",0.4715
"Gg","EC25_uScm",489.369
"Gg","Density_kgm3",997.657
"Gg","Chla_ugL",1.89
"Gg","Turbidity_FTU",1.97
"Gg","DO_pc",110.31
"Gg","DO_mgL",9.377
"Gg","Depth_m",4.2
"Gg","T_C",23.111
"Gg","Salinity",0.24
"Gg","Cond_uScm",0.4767
"Gg","EC25_uScm",497.394
"Gg","Density_kgm3",997.714
"Gg","Chla_ugL",2.2
"Gg","Turbidity_FTU",2.03
"Gg","DO_pc",108.05
"Gg","DO_mgL",9.224
"Gg","Depth_m",4.3
"Gg","T_C",23.015
"Gg","Salinity",0.241
"Gg","Cond_uScm",0.478
"Gg","EC25_uScm",499.849
"Gg","Density_kgm3",997.738
"Gg","Chla_ugL",2.17
"Gg","Turbidity_FTU",2.11
"Gg","DO_pc",106.1
"Gg","DO_mgL",9.073
"Gg","Depth_m",4.4
"Gg","T_C",22.944
"Gg","Salinity",0.241
"Gg","Cond_uScm",0.4783
"Gg","EC25_uScm",500.951
"Gg","Density_kgm3",997.756
"Gg","Chla_ugL",2.19
"Gg","Turbidity_FTU",2.04
"Gg","DO_pc",103.74
"Gg","DO_mgL",8.883
"Gg","Depth_m",4.5
"Gg","T_C",22.747
"Gg","Salinity",0.243
"Gg","Cond_uScm",0.4802
"Gg","EC25_uScm",505.266
"Gg","Density_kgm3",997.805
"Gg","Chla_ugL",2.54
"Gg","Turbidity_FTU",2.23
"Gg","DO_pc",98.4
"Gg","DO_mgL",8.465
"Gg","Depth_m",4.6
"Gg","T_C",22.603
"Gg","Salinity",0.244
"Gg","Cond_uScm",0.4806
"Gg","EC25_uScm",507.339
"Gg","Density_kgm3",997.84
"Gg","Chla_ugL",2.73
"Gg","Turbidity_FTU",2.21
"Gg","DO_pc",95.44
"Gg","DO_mgL",8.236
"Gg","Depth_m",4.7
"Gg","T_C",22.403
"Gg","Salinity",0.245
"Gg","Cond_uScm",0.4793
"Gg","EC25_uScm",508.388
"Gg","Density_kgm3",997.887
"Gg","Chla_ugL",2.74
"Gg","Turbidity_FTU",2.07
"Gg","DO_pc",92.46
"Gg","DO_mgL",8.017
"Gg","Depth_m",4.8
"Gg","T_C",21.731
"Gg","Salinity",0.247
"Gg","Cond_uScm",0.4778
"Gg","EC25_uScm",514.853
"Gg","Density_kgm3",998.042
"Gg","Chla_ugL",2.82
"Gg","Turbidity_FTU",2.04
"Gg","DO_pc",85.59
"Gg","DO_mgL",7.508
"Gg","Depth_m",4.9
"Gg","T_C",21.395
"Gg","Salinity",0.248
"Gg","Cond_uScm",0.4765
"Gg","EC25_uScm",517.501
"Gg","Density_kgm3",998.119
"Gg","Chla_ugL",3.13
"Gg","Turbidity_FTU",2.11
"Gg","DO_pc",82.17
"Gg","DO_mgL",7.257
"Gg","Depth_m",5
"Gg","T_C",20.692
"Gg","Salinity",0.248
"Gg","Cond_uScm",0.4691
"Gg","EC25_uScm",518.24
"Gg","Density_kgm3",998.272
"Gg","Chla_ugL",4.72
"Gg","Turbidity_FTU",2.36
"Gg","DO_pc",75.23
"Gg","DO_mgL",6.753
"Gg","Depth_m",5.1
"Gg","T_C",20.17
"Gg","Salinity",0.249
"Gg","Cond_uScm",0.4658
"Gg","EC25_uScm",521.181
