"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
9.5,11.633,0.213,0.3273,463.639,999.752,1.25,0.95,9.23,0.998,"Sc"
9.6,11.574,0.213,0.3269,463.909,999.759,1.46,0.82,9.04,0.979,"Sc"
9.7,11.533,0.212,0.3263,463.661,999.763,1.37,0.86,8.82,0.956,"Sc"
9.8,11.498,0.212,0.3258,463.421,999.768,1.26,0.85,8.65,0.939,"Sc"
9.9,11.437,0.212,0.3253,463.673,999.775,1.32,0.79,8.36,0.907,"Sc"
10,11.389,0.212,0.3251,464.037,999.78,1.34,0.85,8.05,0.875,"Sc"
10.1,11.361,0.213,0.3252,464.624,999.784,1.16,0.96,7.75,0.843,"Sc"
10.2,11.331,0.212,0.3242,463.613,999.787,1.23,0.81,7.45,0.811,"Sc"
10.3,11.304,0.212,0.3238,463.504,999.791,1.12,0.82,7.34,0.799,"Sc"
10.4,11.264,0.212,0.3238,463.968,999.795,1.38,0.86,7.25,0.791,"Sc"
10.5,11.161,0.212,0.323,464.341,999.807,1.63,0.85,7.16,0.782,"Sc"
10.6,11.099,0.212,0.3226,464.769,999.814,1.32,0.83,7.13,0.781,"Sc"
10.7,11.065,0.212,0.3221,464.439,999.817,1.41,0.88,7.12,0.78,"Sc"
10.8,11.025,0.212,0.3219,464.764,999.822,1.49,0.9,7.04,0.771,"Sc"
10.9,10.984,0.212,0.3213,464.517,999.827,1.33,0.85,6.86,0.753,"Sc"
11,10.949,0.213,0.3221,466.22,999.831,1.09,0.86,6.54,0.717,"Sc"
11.1,10.951,0.212,0.3208,464.326,999.831,1.25,0.86,6.41,0.703,"Sc"
11.2,10.913,0.212,0.3201,463.842,999.835,1.08,0.83,6.34,0.697,"Sc"
11.3,10.846,0.211,0.3189,463.155,999.842,1.03,0.83,6.28,0.692,"Sc"
11.4,10.801,0.211,0.3187,463.443,999.847,1.08,0.81,6.25,0.689,"Sc"
11.5,10.733,0.211,0.3181,463.628,999.854,1.03,0.86,6.23,0.688,"Sc"
11.6,10.7,0.211,0.3177,463.55,999.858,1.01,0.83,6.26,0.693,"Sc"
11.7,10.663,0.211,0.3174,463.641,999.862,0.98,0.82,6.32,0.699,"Sc"
11.8,10.59,0.212,0.3175,464.8,999.87,0.99,0.76,6.45,0.715,"Sc"
11.9,10.55,0.212,0.3172,465.076,999.874,1.04,0.81,6.56,0.727,"Sc"
12,10.526,0.212,0.317,465.029,999.877,1.07,0.78,6.58,0.73,"Sc"
12.1,10.508,0.212,0.3169,465.278,999.879,1.18,0.82,6.59,0.731,"Sc"
12.2,10.473,0.212,0.3166,465.286,999.883,1.09,0.86,6.64,0.737,"Sc"
12.3,10.432,0.212,0.3164,465.606,999.887,1.25,1.01,6.6,0.733,"Sc"
12.4,10.387,0.212,0.3168,466.872,999.892,2,1.22,6.42,0.713,"Sc"
12.5,10.373,0.212,0.316,465.922,999.894,1.68,1.22,6.2,0.689,"Sc"
12.6,10.346,0.212,0.3155,465.536,999.897,1.3,1.14,5.98,0.666,"Sc"
12.7,10.278,0.212,0.3151,465.97,999.903,1.32,1.07,5.37,0.599,"Sc"
12.8,10.246,0.212,0.3148,466.019,999.907,1.44,1.15,4.37,0.487,"Sc"
12.9,10.223,0.212,0.3151,466.873,999.91,1.29,1.38,3.74,0.417,"Sc"
13,10.221,0.212,0.3148,466.4,999.91,1.25,1.24,3.1,0.346,"Sc"
13.1,10.178,0.212,0.3142,466.226,999.914,1.11,1.21,2.67,0.298,"Sc"
13.2,10.153,0.212,0.3141,466.467,999.917,1.2,1.17,2.49,0.278,"Sc"
13.3,10.124,0.211,0.3137,466.24,999.92,1.18,1.1,2.29,0.257,"Sc"
13.4,10.1,0.212,0.3136,466.587,999.923,1.82,1.04,2.17,0.243,"Sc"
13.5,10.076,0.212,0.3134,466.541,999.926,1.25,0.99,2.02,0.226,"Sc"
13.6,10.051,0.212,0.3133,466.763,999.928,1.08,0.93,1.86,0.209,"Sc"
13.7,10.043,0.212,0.3136,467.411,999.93,1,1.17,1.65,0.185,"Sc"
13.8,10.021,0.212,0.3129,466.7,999.932,0.94,0.99,1.43,0.16,"Sc"
13.9,9.985,0.211,0.3125,466.686,999.935,0.87,0.97,1.21,0.136,"Sc"
14,9.972,0.211,0.3124,466.64,999.937,0.87,1.07,1.06,0.119,"Sc"
14.1,9.955,0.211,0.3122,466.678,999.939,0.87,1.11,0.94,0.105,"Sc"
14.2,9.941,0.211,0.3119,466.44,999.941,0.89,1.15,0.82,0.092,"Sc"
14.3,9.918,0.211,0.3115,466.152,999.943,0.86,1.21,0.71,0.08,"Sc"
14.4,9.898,0.211,0.3114,466.264,999.945,0.87,1.08,0.65,0.073,"Sc"
14.5,9.89,0.211,0.3113,466.246,999.946,0.88,1.1,0.65,0.073,"Sc"
14.6,9.867,0.211,0.3113,466.711,999.949,0.94,1.11,0.73,0.083,"Sc"
