"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
21.9,5.98,0.137,0.1841,316.582,1000.158,0.58,1.15,40.55,5.012,"St"
22,5.979,0.137,0.1841,316.601,1000.158,0.59,1.28,40.3,4.99,"St"
22.1,5.969,0.137,0.1843,317.007,1000.159,0.79,1.57,40.1,4.956,"St"
22.2,5.965,0.137,0.1841,316.829,1000.16,0.58,1.2,39.73,4.912,"St"
22.3,5.968,0.137,0.1841,316.72,1000.16,0.57,1.17,39.59,4.903,"St"
22.4,5.95,0.137,0.1843,317.234,1000.161,0.58,1.28,39.45,4.883,"St"
22.5,5.955,0.137,0.1841,316.861,1000.162,0.57,1.22,39.19,4.849,"St"
22.6,5.953,0.137,0.1841,316.916,1000.162,0.56,1.27,38.95,4.827,"St"
22.7,5.944,0.137,0.1842,317.161,1000.163,0.56,1.22,38.64,4.791,"St"
22.8,5.944,0.137,0.1842,317.172,1000.163,0.57,1.32,38.21,4.737,"St"
22.9,5.93,0.137,0.1842,317.303,1000.164,0.57,1.35,37.32,4.622,"St"
23,5.925,0.137,0.1842,317.429,1000.165,0.58,1.42,36.91,4.577,"St"
23.1,5.92,0.137,0.1843,317.564,1000.166,0.56,1.4,36.11,4.476,"St"
23.2,5.923,0.137,0.1842,317.479,1000.166,0.57,1.45,35.36,4.379,"St"
23.3,5.918,0.137,0.1842,317.563,1000.167,0.55,1.35,34.78,4.315,"St"
23.4,5.91,0.137,0.1842,317.646,1000.168,0.57,1.39,34.2,4.24,"St"
23.5,5.915,0.137,0.1842,317.597,1000.168,0.59,1.49,33.2,4.11,"St"
23.6,5.918,0.137,0.1843,317.661,1000.168,0.58,1.52,32.89,4.077,"St"
23.7,5.919,0.137,0.1844,317.825,1000.169,0.59,1.38,32.17,3.986,"St"
23.8,5.92,0.137,0.1843,317.592,1000.169,0.56,1.5,31.49,3.9,"St"
23.9,5.919,0.137,0.1844,317.768,1000.17,0.6,1.63,31.07,3.856,"St"
